Local Government District 2014 Code,Local Government District 2014 Label,Irish (Ability) Code,Irish (Ability) Label,Sexual Orientation Code,Sexual Orientation Label,Count
N09000003,Belfast,6,No ability in Irish,1,Straight or heterosexual,204479
N09000003,Belfast,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",8956
N09000003,Belfast,6,No ability in Irish,3,Prefer not to say/Not stated,21110
N09000004,Causeway Coast and Glens,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,4518
N09000004,Causeway Coast and Glens,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",90
N09000004,Causeway Coast and Glens,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,326
N09000004,Causeway Coast and Glens,2,Speaks but does not read or write Irish,1,Straight or heterosexual,1603
N09000004,Causeway Coast and Glens,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",23
N09000004,Causeway Coast and Glens,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,160
N09000004,Causeway Coast and Glens,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,435
N09000004,Causeway Coast and Glens,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",12
N09000004,Causeway Coast and Glens,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,31
N09000004,Causeway Coast and Glens,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,2755
N09000004,Causeway Coast and Glens,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",74
N09000004,Causeway Coast and Glens,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,165
N09000004,Causeway Coast and Glens,5,Other combination of skills,1,Straight or heterosexual,747
N09000004,Causeway Coast and Glens,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",22
N09000004,Causeway Coast and Glens,5,Other combination of skills,3,Prefer not to say/Not stated,85
N09000004,Causeway Coast and Glens,6,No ability in Irish,1,Straight or heterosexual,94146
N09000004,Causeway Coast and Glens,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",1416
N09000004,Causeway Coast and Glens,6,No ability in Irish,3,Prefer not to say/Not stated,7551
N09000005,Derry City and Strabane,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,7434
N09000005,Derry City and Strabane,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",202
N09000005,Derry City and Strabane,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,561
N09000005,Derry City and Strabane,2,Speaks but does not read or write Irish,1,Straight or heterosexual,2672
N09000005,Derry City and Strabane,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",76
N09000005,Derry City and Strabane,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,289
N09000005,Derry City and Strabane,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,707
N09000005,Derry City and Strabane,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",26
N09000005,Derry City and Strabane,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,80
N09000005,Derry City and Strabane,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,5281
N09000005,Derry City and Strabane,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",212
N09000005,Derry City and Strabane,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,385
N09000005,Derry City and Strabane,5,Other combination of skills,1,Straight or heterosexual,1456
N09000005,Derry City and Strabane,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",59
N09000005,Derry City and Strabane,5,Other combination of skills,3,Prefer not to say/Not stated,157
N09000005,Derry City and Strabane,6,No ability in Irish,1,Straight or heterosexual,89734
N09000005,Derry City and Strabane,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",1913
N09000005,Derry City and Strabane,6,No ability in Irish,3,Prefer not to say/Not stated,7569
N09000006,Fermanagh and Omagh,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,6028
N09000006,Fermanagh and Omagh,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",85
N09000006,Fermanagh and Omagh,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,460
N09000006,Fermanagh and Omagh,2,Speaks but does not read or write Irish,1,Straight or heterosexual,2964
N09000006,Fermanagh and Omagh,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",41
N09000006,Fermanagh and Omagh,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,391
N09000006,Fermanagh and Omagh,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,771
N09000006,Fermanagh and Omagh,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",9
N09000006,Fermanagh and Omagh,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,84
N09000006,Fermanagh and Omagh,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,4059
N09000006,Fermanagh and Omagh,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",65
N09000006,Fermanagh and Omagh,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,294
N09000006,Fermanagh and Omagh,5,Other combination of skills,1,Straight or heterosexual,1184
N09000006,Fermanagh and Omagh,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",32
N09000006,Fermanagh and Omagh,5,Other combination of skills,3,Prefer not to say/Not stated,171
N09000006,Fermanagh and Omagh,6,No ability in Irish,1,Straight or heterosexual,67369
N09000006,Fermanagh and Omagh,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",829
N09000006,Fermanagh and Omagh,6,No ability in Irish,3,Prefer not to say/Not stated,7179
N09000007,Lisburn and Castlereagh,1,"Understands but does not read, write or speak Irish",1,Straight or heterosexual,3210
N09000007,Lisburn and Castlereagh,1,"Understands but does not read, write or speak Irish",2,"Gay, lesbian, bisexual, other sexual orientation",132
N09000007,Lisburn and Castlereagh,1,"Understands but does not read, write or speak Irish",3,Prefer not to say/Not stated,208
N09000007,Lisburn and Castlereagh,2,Speaks but does not read or write Irish,1,Straight or heterosexual,1094
N09000007,Lisburn and Castlereagh,2,Speaks but does not read or write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",42
N09000007,Lisburn and Castlereagh,2,Speaks but does not read or write Irish,3,Prefer not to say/Not stated,146
N09000007,Lisburn and Castlereagh,3,Speaks and reads but does not write Irish,1,Straight or heterosexual,375
N09000007,Lisburn and Castlereagh,3,Speaks and reads but does not write Irish,2,"Gay, lesbian, bisexual, other sexual orientation",14
N09000007,Lisburn and Castlereagh,3,Speaks and reads but does not write Irish,3,Prefer not to say/Not stated,40
N09000007,Lisburn and Castlereagh,4,"Speaks, reads, writes and understands Irish",1,Straight or heterosexual,2334
N09000007,Lisburn and Castlereagh,4,"Speaks, reads, writes and understands Irish",2,"Gay, lesbian, bisexual, other sexual orientation",96
N09000007,Lisburn and Castlereagh,4,"Speaks, reads, writes and understands Irish",3,Prefer not to say/Not stated,141
N09000007,Lisburn and Castlereagh,5,Other combination of skills,1,Straight or heterosexual,692
N09000007,Lisburn and Castlereagh,5,Other combination of skills,2,"Gay, lesbian, bisexual, other sexual orientation",37
N09000007,Lisburn and Castlereagh,5,Other combination of skills,3,Prefer not to say/Not stated,75
N09000007,Lisburn and Castlereagh,6,No ability in Irish,1,Straight or heterosexual,100943
N09000007,Lisburn and Castlereagh,6,No ability in Irish,2,"Gay, lesbian, bisexual, other sexual orientation",2116
