Local Government District 2014 Code,Local Government District 2014 Label,Sexual Orientation Code,Sexual Orientation Label,Irish (Speak Frequency) Code,Irish (Speak Frequency) Label,Count
N09000003,Belfast,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,4144
N09000003,Belfast,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,7787
N09000003,Belfast,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,1443
N09000003,Belfast,1,Straight or heterosexual,5,Cannot speak Irish,221204
N09000003,Belfast,1,Straight or heterosexual,-8,No code required,0
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,495
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,290
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,544
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,94
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,9936
N09000003,Belfast,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000003,Belfast,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,796
N09000003,Belfast,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,322
N09000003,Belfast,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,798
N09000003,Belfast,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,193
N09000003,Belfast,3,Prefer not to say/Not stated,5,Cannot speak Irish,22557
N09000003,Belfast,3,Prefer not to say/Not stated,-8,No code required,0
N09000003,Belfast,-8,No code required,1,Can speak Irish: Speaks Irish daily,3117
N09000003,Belfast,-8,No code required,2,Can speak Irish: Speaks Irish weekly,1018
N09000003,Belfast,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,593
N09000003,Belfast,-8,No code required,4,Can speak Irish: Never speaks Irish,121
N09000003,Belfast,-8,No code required,5,Cannot speak Irish,49594
N09000003,Belfast,-8,No code required,-8,No code required,11669
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1386
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,952
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,2195
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,544
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,5,Cannot speak Irish,99130
N09000004,Causeway Coast and Glens,1,Straight or heterosexual,-8,No code required,0
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,25
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,26
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,53
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,14
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,1519
N09000004,Causeway Coast and Glens,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000004,Causeway Coast and Glens,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,111
N09000004,Causeway Coast and Glens,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,66
N09000004,Causeway Coast and Glens,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,159
N09000004,Causeway Coast and Glens,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,48
N09000004,Causeway Coast and Glens,3,Prefer not to say/Not stated,5,Cannot speak Irish,7934
N09000004,Causeway Coast and Glens,3,Prefer not to say/Not stated,-8,No code required,0
N09000004,Causeway Coast and Glens,-8,No code required,1,Can speak Irish: Speaks Irish daily,762
N09000004,Causeway Coast and Glens,-8,No code required,2,Can speak Irish: Speaks Irish weekly,573
N09000004,Causeway Coast and Glens,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,344
N09000004,Causeway Coast and Glens,-8,No code required,4,Can speak Irish: Never speaks Irish,81
N09000004,Causeway Coast and Glens,-8,No code required,5,Cannot speak Irish,21240
N09000004,Causeway Coast and Glens,-8,No code required,-8,No code required,4587
N09000005,Derry City and Strabane,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,2664
N09000005,Derry City and Strabane,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1745
N09000005,Derry City and Strabane,1,Straight or heterosexual,3,Can speak Irish: Speaks Irish less often than weekly,3995
N09000005,Derry City and Strabane,1,Straight or heterosexual,4,Can speak Irish: Never speaks Irish,807
N09000005,Derry City and Strabane,1,Straight or heterosexual,5,Cannot speak Irish,98072
N09000005,Derry City and Strabane,1,Straight or heterosexual,-8,No code required,0
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",1,Can speak Irish: Speaks Irish daily,97
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",2,Can speak Irish: Speaks Irish weekly,83
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",3,Can speak Irish: Speaks Irish less often than weekly,124
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",4,Can speak Irish: Never speaks Irish,33
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",5,Cannot speak Irish,2150
N09000005,Derry City and Strabane,2,"Gay, lesbian, bisexual, other sexual orientation",-8,No code required,0
N09000005,Derry City and Strabane,3,Prefer not to say/Not stated,1,Can speak Irish: Speaks Irish daily,242
N09000005,Derry City and Strabane,3,Prefer not to say/Not stated,2,Can speak Irish: Speaks Irish weekly,145
N09000005,Derry City and Strabane,3,Prefer not to say/Not stated,3,Can speak Irish: Speaks Irish less often than weekly,358
N09000005,Derry City and Strabane,3,Prefer not to say/Not stated,4,Can speak Irish: Never speaks Irish,79
N09000005,Derry City and Strabane,3,Prefer not to say/Not stated,5,Cannot speak Irish,8218
N09000005,Derry City and Strabane,3,Prefer not to say/Not stated,-8,No code required,0
N09000005,Derry City and Strabane,-8,No code required,1,Can speak Irish: Speaks Irish daily,1130
N09000005,Derry City and Strabane,-8,No code required,2,Can speak Irish: Speaks Irish weekly,731
N09000005,Derry City and Strabane,-8,No code required,3,Can speak Irish: Speaks Irish less often than weekly,471
N09000005,Derry City and Strabane,-8,No code required,4,Can speak Irish: Never speaks Irish,54
N09000005,Derry City and Strabane,-8,No code required,5,Cannot speak Irish,24079
N09000005,Derry City and Strabane,-8,No code required,-8,No code required,5478
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,1,Can speak Irish: Speaks Irish daily,1991
N09000006,Fermanagh and Omagh,1,Straight or heterosexual,2,Can speak Irish: Speaks Irish weekly,1444
